role,category,demand,automation_resistance,skill_depth,strategic_importance,score,salary_low_usd,salary_high_usd,demand_trend,verdict_tier
Speech Synthesis (TTS) Engineer,Data & AI,5,8,9,7,71,130000,360000,rising,safe
Audio DSP Engineer,Engineering,3,10,10,6,71,130000,330000,stable,safe
DFT (Design for Test) Engineer,Engineering,3,10,10,6,71,130000,340000,stable,safe
Drone Firmware Engineer,Engineering,4,9,9,7,71,110000,290000,stable,safe
Drone Software Engineer,Engineering,4,9,9,7,71,110000,290000,rising,safe
Energy / Smart Grid Engineer,Engineering,4,9,9,7,71,110000,290000,rising,safe
Game Anti-cheat Engineer,Engineering,4,9,9,7,71,130000,320000,rising,safe
Game Physics Programmer,Engineering,4,9,10,6,71,110000,280000,stable,safe
Idempotency / Retries Engineer,Engineering,4,9,9,7,71,130000,350000,stable,safe
Lightning Network Engineer,Engineering,3,10,10,6,71,130000,340000,stable,safe
Medical Imaging Software Engineer,Engineering,4,9,9,7,71,130000,330000,stable,safe
Microcontroller Programmer,Engineering,5,9,8,6,71,80000,200000,stable,safe
Real-time Communications Engineer (WebRTC),Engineering,5,8,9,7,71,130000,330000,stable,safe
Robotics Simulation Engineer,Engineering,4,9,9,7,71,130000,340000,stable,safe
Senior Smart Contract Engineer,Engineering,4,9,9,7,71,140000,400000,stable,safe
Service Mesh Architect,Engineering,4,9,9,7,71,140000,350000,stable,safe
Shader Programmer,Engineering,4,9,10,6,71,130000,340000,stable,safe
Staff Android Engineer,Engineering,5,8,9,7,71,175000,410000,stable,safe
Staff Full-Stack Engineer,Engineering,6,7,8,8,71,180000,420000,stable,safe
Staff iOS Engineer,Engineering,5,8,9,7,71,180000,420000,stable,safe
Static Analysis Engineer,Engineering,4,9,9,7,71,130000,350000,stable,safe
VHDL Engineer,Engineering,3,10,10,6,71,110000,320000,stable,safe
Video Encoding Engineer,Engineering,4,9,9,7,71,130000,330000,stable,safe
Head of Mobile,Engineering Leadership,5,8,8,8,71,180000,400000,stable,safe
Database Architect,Platform & Infrastructure,5,8,9,7,71,140000,340000,stable,safe
Senior Design Manager,Product & Design,5,8,8,8,71,160000,380000,stable,safe
Senior Design Systems Engineer,Product & Design,5,8,9,7,71,140000,320000,stable,safe
Embedded Security Engineer,Security,4,9,9,7,71,120000,310000,rising,safe
Fuzzing Engineer,Security,4,9,9,7,71,130000,330000,stable,safe
Hardware Pentester,Security,3,10,10,6,71,120000,320000,stable,safe
ICS / SCADA Security Engineer,Security,4,9,9,7,71,120000,300000,rising,safe
Malware Analyst,Security,4,9,9,7,71,110000,290000,stable,safe
Open Source Maintainer,Specialized & Emerging,4,9,9,7,71,100000,300000,stable,safe
AI Ethics Researcher,Data & AI,4,9,8,7,70,130000,320000,stable,safe
AI Workflow / Orchestration Engineer,Data & AI,7,7,7,7,70,130000,330000,rising,safe
Senior NLP Engineer,Data & AI,6,7,9,7,70,150000,360000,stable,safe
Compliance Software Engineer,Engineering,5,8,7,8,70,120000,300000,stable,safe
GCC Maintainer,Engineering,2,10,10,7,70,140000,380000,stable,safe
Chief Digital Officer,Engineering Leadership,5,8,7,8,70,220000,600000,stable,safe
Director of Design,Engineering Leadership,5,8,7,8,70,180000,420000,stable,safe
Engineering Chief of Staff,Engineering Leadership,5,8,7,8,70,150000,380000,stable,safe
Chaos Engineer,Platform & Infrastructure,4,9,8,7,70,130000,320000,stable,safe
Payments Product Manager,Product & Design,5,8,7,8,70,140000,340000,stable,safe
SOC Manager,Security,5,8,7,8,70,130000,280000,stable,safe
Vulnerability Management Engineer,Security,7,7,7,7,70,100000,240000,stable,safe
Anomaly Detection ML Engineer,Data & AI,5,8,8,7,69,120000,300000,stable,stable
Big Data Engineer,Data & AI,6,7,8,7,69,120000,300000,stable,stable
Data Lakehouse Engineer,Data & AI,6,7,8,7,69,120000,300000,rising,stable
Data Reliability Engineer,Data & AI,5,8,8,7,69,130000,310000,stable,stable
Embedding Engineer,Data & AI,6,7,8,7,69,130000,320000,rising,stable
Feature Store Engineer,Data & AI,5,8,8,7,69,130000,320000,rising,stable
Genomics Pipeline Engineer,Data & AI,4,9,9,6,69,110000,280000,stable,stable
Iceberg / Delta / Hudi Engineer,Data & AI,5,8,8,7,69,130000,310000,rising,stable
Kafka Streams Engineer,Data & AI,5,8,8,7,69,130000,310000,stable,stable
ML Tooling Engineer (Ray/Dask),Data & AI,5,8,8,7,69,130000,320000,rising,stable
Model Deployment Engineer,Data & AI,6,7,8,7,69,130000,320000,rising,stable
Model Monitoring Engineer,Data & AI,5,8,8,7,69,130000,320000,rising,stable
Spark Engineer,Data & AI,6,7,8,7,69,120000,290000,stable,stable
Synthetic Data Engineer,Data & AI,5,8,8,7,69,130000,320000,rising,stable
Time Series ML Engineer,Data & AI,5,8,8,7,69,120000,310000,stable,stable
Vector Search Engineer,Data & AI,6,7,8,7,69,130000,320000,rising,stable
Application Architect,Engineering,5,8,8,7,69,140000,340000,stable,stable
Backend Caching Engineer,Engineering,5,8,8,7,69,120000,320000,stable,stable
Developer Tools Engineer,Engineering,5,8,8,7,69,130000,320000,stable,stable
Edge Runtime Engineer (Cloudflare Workers/Deno Deploy),Engineering,5,8,8,7,69,130000,320000,rising,stable
Game AI Programmer,Engineering,5,8,9,6,69,110000,280000,rising,stable
HL7 / FHIR Integration Engineer,Engineering,5,8,8,7,69,110000,270000,stable,stable
Hardware Validation Engineer,Engineering,4,9,9,6,69,110000,280000,stable,stable
Industrial Control / PLC Engineer,Engineering,5,8,8,7,69,95000,240000,stable,stable
Industrial Robotics Programmer,Engineering,5,8,8,7,69,100000,240000,stable,stable
IoT Edge Engineer,Engineering,5,8,8,7,69,110000,280000,rising,stable
Mobile Performance Engineer,Engineering,5,8,8,7,69,130000,320000,stable,stable
Pricing / Monetization Engineer,Engineering,5,8,8,7,69,130000,330000,stable,stable
Refactoring / Modernization Engineer,Engineering,5,8,8,7,69,130000,320000,stable,stable
Rust Smart Contract Engineer (Solana),Engineering,4,9,9,6,69,130000,360000,stable,stable
Senior Android Engineer,Engineering,6,7,8,7,69,125000,300000,stable,stable
Senior iOS Engineer,Engineering,6,7,8,7,69,130000,310000,stable,stable
Streaming Media Engineer,Engineering,5,8,8,7,69,130000,320000,stable,stable
Workflow Engine Engineer (Temporal/Cadence),Engineering,5,8,8,7,69,130000,340000,rising,stable
Yocto / Buildroot Engineer,Engineering,4,9,9,6,69,110000,280000,stable,stable
gRPC / Protobuf Engineer,Engineering,5,8,8,7,69,120000,320000,stable,stable
Backstage Engineer,Platform & Infrastructure,5,8,8,7,69,130000,320000,rising,stable
ClickHouse Engineer,Platform & Infrastructure,5,8,8,7,69,130000,320000,rising,stable
Database Engineer / DBA,Platform & Infrastructure,6,7,8,7,69,100000,250000,stable,stable
Database Reliability Engineer,Platform & Infrastructure,5,8,8,7,69,130000,320000,stable,stable
Edge Computing Engineer,Platform & Infrastructure,5,8,8,7,69,120000,310000,stable,stable
GCP Data Engineer,Platform & Infrastructure,6,7,8,7,69,120000,310000,stable,stable
Multi-cloud Architect,Platform & Infrastructure,5,8,8,7,69,150000,350000,stable,stable
Network Architect,Platform & Infrastructure,5,8,8,7,69,140000,320000,stable,stable
PostgreSQL DBA,Platform & Infrastructure,6,7,8,7,69,110000,270000,rising,stable
Service Mesh Engineer (Istio/Linkerd),Platform & Infrastructure,5,8,8,7,69,130000,330000,stable,stable
Tracing Engineer (OpenTelemetry/Jaeger),Platform & Infrastructure,5,8,8,7,69,120000,290000,rising,stable
Growth Product Manager,Product & Design,6,7,7,8,69,130000,320000,stable,stable
Senior Product Designer,Product & Design,6,7,8,7,69,130000,300000,stable,stable
Senior UX Researcher,Product & Design,5,8,8,7,69,120000,270000,stable,stable
Staff Product Designer,Product & Design,5,8,8,7,69,170000,380000,stable,stable
Performance / Load Test Engineer,Quality & Testing,6,7,8,7,69,100000,250000,stable,stable
Staff SDET,Quality & Testing,5,8,8,7,69,160000,350000,stable,stable
Linux Security Engineer,Security,5,8,8,7,69,110000,280000,stable,stable
Mobile Application Pentester,Security,5,8,8,7,69,100000,260000,stable,stable
Mobile Security Engineer,Security,5,8,8,7,69,110000,290000,rising,stable
Network Pentester,Security,5,8,8,7,69,95000,240000,stable,stable
Experimentation Platform Engineer,Specialized & Emerging,5,8,8,7,69,130000,310000,rising,stable
Salesforce Architect,Specialized & Emerging,5,8,8,7,69,150000,320000,stable,stable
Senior Developer Advocate,Specialized & Emerging,5,8,8,7,69,140000,320000,stable,stable
AI Curriculum / Training Lead,Data & AI,5,8,7,7,68,130000,320000,rising,stable
Causal Inference Scientist,Data & AI,4,8,9,7,68,140000,320000,stable,stable
BCI (Brain-Computer Interface) Engineer,Engineering,2,10,10,6,68,140000,380000,rising,stable
BSD Kernel Engineer,Engineering,2,10,10,6,68,130000,350000,stable,stable
Browser Engine Engineer (Gecko/Firefox),Engineering,2,10,10,6,68,150000,400000,stable,stable
Erlang Engineer,Engineering,3,9,9,7,68,120000,290000,stable,stable
Event Sourcing / CQRS Engineer,Engineering,4,8,9,7,68,130000,350000,stable,stable
MEV Engineer / Searcher,Engineering,3,9,10,6,68,150000,500000,stable,stable
Photonics Software Engineer,Engineering,2,10,10,6,68,130000,350000,stable,stable
Quantum Compiler Engineer,Engineering,2,10,10,6,68,140000,380000,stable,stable
Scala Backend Engineer,Engineering,4,8,9,7,68,130000,320000,declining,stable
Search Backend Engineer (Vespa),Engineering,4,8,9,7,68,130000,340000,stable,stable
Design Manager,Product & Design,5,8,7,7,68,130000,320000,stable,stable
Principal Product Designer,Product & Design,4,8,9,7,68,200000,450000,stable,stable
Blockchain Security Auditor,Security,3,9,10,6,68,120000,350000,stable,stable
Foundation Engineer (CNCF/Apache),Specialized & Emerging,3,9,9,7,68,130000,340000,stable,stable
Senior Implementation Engineer,Specialized & Emerging,5,8,7,7,68,130000,290000,stable,stable
Standards Engineer (W3C/IETF),Specialized & Emerging,3,9,9,7,68,130000,340000,stable,stable
AI Tooling Engineer,Data & AI,6,7,7,7,67,130000,330000,rising,stable
Conversational AI Engineer,Data & AI,7,6,7,7,67,120000,320000,rising,stable
Data Pipeline Engineer,Data & AI,7,6,7,7,67,110000,280000,stable,stable
LangGraph / Agent Framework Engineer,Data & AI,6,7,7,7,67,120000,310000,rising,stable
SageMaker Engineer,Data & AI,6,7,7,7,67,130000,310000,rising,stable
Snowflake Data Engineer,Data & AI,7,6,7,7,67,120000,290000,rising,stable
FastAPI Engineer,Engineering,7,6,7,7,67,100000,260000,rising,stable
Java Backend Engineer,Engineering,7,6,7,7,67,100000,270000,stable,stable
Java Spring / Spring Boot Engineer,Engineering,7,6,7,7,67,100000,270000,stable,stable
Job Scheduler Engineer (Airflow/Prefect),Engineering,6,7,7,7,67,120000,300000,stable,stable
Kotlin Backend Engineer,Engineering,6,7,7,7,67,110000,280000,rising,stable
Senior Full-Stack Engineer,Engineering,7,6,7,7,67,130000,310000,stable,stable
Senior Game Engineer,Engineering,5,8,8,6,67,120000,280000,stable,stable
AWS Engineer,Platform & Infrastructure,7,6,7,7,67,100000,270000,stable,stable
Azure DevOps Engineer,Platform & Infrastructure,6,7,7,7,67,110000,280000,stable,stable
BigQuery Engineer,Platform & Infrastructure,6,7,7,7,67,120000,290000,stable,stable
Cloud Engineer,Platform & Infrastructure,7,6,7,7,67,95000,270000,declining,stable
Disaster Recovery Engineer,Platform & Infrastructure,4,8,7,8,67,110000,270000,stable,stable
Identity Engineer (Corp IT — Okta/Azure AD),Platform & Infrastructure,6,7,7,7,67,110000,280000,rising,stable
Monitoring Engineer (Prometheus/Grafana),Platform & Infrastructure,6,7,7,7,67,110000,280000,stable,stable
Redis Engineer,Platform & Infrastructure,6,7,7,7,67,110000,280000,stable,stable
UX Designer / Researcher,Product & Design,6,7,7,7,67,85000,220000,stable,stable
Senior SDET,Quality & Testing,6,7,7,7,67,130000,280000,stable,stable
Endpoint Security Engineer,Security,6,7,7,7,67,100000,260000,stable,stable
SOC Analyst (Tier 3),Security,6,7,7,7,67,100000,230000,stable,stable
Security Operations Engineer,Security,6,7,7,7,67,110000,270000,stable,stable
Threat Intelligence Analyst,Security,6,7,7,7,67,90000,220000,stable,stable
Post-sales / Customer Engineer,Specialized & Emerging,6,7,7,7,67,110000,280000,stable,stable
Senior Salesforce Developer,Specialized & Emerging,6,7,7,7,67,130000,280000,stable,stable
AdTech ML Engineer,Data & AI,5,7,8,7,66,130000,320000,stable,stable
CDC (Change Data Capture) Engineer,Data & AI,4,8,8,7,66,130000,310000,stable,stable
Experimentation Scientist (A/B testing),Data & AI,5,7,8,7,66,130000,310000,stable,stable
Staff Data Scientist,Data & AI,4,7,9,8,66,180000,420000,stable,stable
Airline Software Engineer,Engineering,4,8,8,7,66,100000,260000,stable,stable
Apple Vision Pro Application Engineer,Engineering,4,8,9,6,66,130000,340000,rising,stable
CAD Software Engineer,Engineering,3,9,9,6,66,110000,280000,stable,stable
Color Science Engineer,Engineering,3,9,9,6,66,110000,270000,stable,stable
Console Game Engineer,Engineering,4,8,9,6,66,110000,280000,stable,stable
Cosmos SDK Engineer,Engineering,3,9,9,6,66,120000,310000,stable,stable
Decentralized Identity Engineer,Engineering,3,9,9,6,66,120000,310000,stable,stable
Elixir / Phoenix Engineer,Engineering,4,8,8,7,66,110000,280000,stable,stable
Eye Tracking Engineer,Engineering,3,9,9,6,66,130000,320000,stable,stable
Frontend Architect,Engineering,5,7,8,7,66,150000,360000,stable,stable
Frontend Performance Engineer,Engineering,5,7,8,7,66,130000,320000,rising,stable
Game Network Programmer,Engineering,4,8,9,6,66,110000,280000,stable,stable
Hand Tracking / Gesture Recognition Engineer,Engineering,3,9,9,6,66,130000,330000,stable,stable
Hardware Wallet Firmware Engineer,Engineering,3,9,9,6,66,120000,310000,stable,stable
IoT Software Engineer,Engineering,5,7,8,7,66,100000,260000,stable,stable
Logistics Software Engineer,Engineering,5,7,8,7,66,110000,290000,rising,stable
Mainframe Modernization Engineer,Engineering,4,8,8,7,66,130000,290000,rising,stable
Mobile Architect,Engineering,5,7,8,7,66,150000,360000,stable,stable
OpenGL Engineer,Engineering,3,9,9,6,66,110000,290000,declining,stable
Pharma Software Engineer,Engineering,4,8,8,7,66,110000,290000,stable,stable
Smart Contract Engineer,Engineering,4,8,9,6,66,100000,320000,stable,stable
Spatial Computing Engineer,Engineering,4,8,9,6,66,120000,320000,rising,stable
Supply Chain Software Engineer,Engineering,5,7,8,7,66,110000,290000,stable,stable
VR Game Engineer,Engineering,4,8,9,6,66,110000,280000,rising,stable
WebGL / WebGPU Engineer,Engineering,4,8,9,6,66,110000,280000,rising,stable
Zig Engineer,Engineering,3,9,9,6,66,120000,280000,rising,stable
visionOS / Apple Vision Pro Engineer,Engineering,4,8,9,6,66,130000,340000,rising,stable
Capacity Planning Engineer,Platform & Infrastructure,4,8,8,7,66,120000,290000,stable,stable
Elasticsearch DBA / Engineer,Platform & Infrastructure,5,7,8,7,66,120000,290000,stable,stable
File System Engineer,Platform & Infrastructure,3,9,9,6,66,130000,320000,stable,stable
FinOps Practitioner,Platform & Infrastructure,6,7,6,7,66,110000,280000,rising,stable
Senior Network Engineer,Platform & Infrastructure,5,7,8,7,66,120000,280000,stable,stable
Implementation Engineer,Specialized & Emerging,6,7,6,7,66,100000,240000,stable,stable
NLP Engineer,Data & AI,6,6,8,7,65,120000,320000,declining,stable
Haskell Engineer,Engineering,2,9,10,6,65,120000,300000,stable,stable
OCaml Engineer,Engineering,2,9,10,6,65,120000,300000,stable,stable
Sustainability Tech Engineer,Engineering,4,8,7,7,65,100000,250000,rising,stable
Quality Engineering Director,Quality & Testing,4,8,7,7,65,140000,300000,stable,stable
Field Engineer,Specialized & Emerging,4,8,7,7,65,110000,260000,stable,stable
Open Source Program Manager (OSPO),Specialized & Emerging,4,8,7,7,65,130000,320000,stable,stable
Active Learning Engineer,Data & AI,4,8,8,6,64,120000,300000,stable,stable
Azure ML Engineer,Data & AI,5,7,7,7,64,120000,290000,rising,stable
Beam / Dataflow Engineer,Data & AI,4,8,8,6,64,120000,290000,stable,stable
BigQuery Data Engineer,Data & AI,6,6,7,7,64,110000,280000,stable,stable
Data Lake Engineer,Data & AI,5,7,7,7,64,110000,270000,stable,stable
Flink Engineer,Data & AI,4,8,8,6,64,130000,320000,stable,stable
Llama Fine-tuning Engineer,Data & AI,5,7,8,6,64,130000,330000,rising,stable
Vertex AI Engineer,Data & AI,5,7,7,7,64,130000,310000,rising,stable
Android Auto / CarPlay Engineer,Engineering,4,8,8,6,64,120000,300000,rising,stable
Audio Plugin Developer (VST),Engineering,3,9,9,5,64,100000,270000,stable,stable
Banking Software Engineer,Engineering,5,7,7,7,64,110000,280000,stable,stable
C# / .NET Backend Engineer,Engineering,6,6,7,7,64,95000,250000,stable,stable
Crypto Exchange Engineer,Engineering,4,8,8,6,64,110000,290000,stable,stable
Crypto Wallet Engineer,Engineering,4,8,8,6,64,110000,290000,stable,stable
E-commerce Backend Engineer,Engineering,6,6,7,7,64,100000,270000,stable,stable
EHR Integration Engineer,Engineering,5,7,7,7,64,100000,250000,stable,stable
Frontend Build / Tooling Engineer,Engineering,5,7,8,6,64,130000,320000,stable,stable
GIS Developer,Engineering,4,8,8,6,64,90000,230000,stable,stable
Game Server Engineer,Engineering,4,8,8,6,64,110000,280000,stable,stable
Geospatial Software Engineer,Engineering,4,8,8,6,64,100000,250000,stable,stable
Government / GovTech Engineer,Engineering,5,7,7,7,64,95000,240000,stable,stable
GraphQL Engineer,Engineering,6,6,7,7,64,110000,290000,stable,stable
Haptics Engineer,Engineering,3,9,9,5,64,110000,280000,stable,stable
Hardware Test Engineer,Engineering,4,8,8,6,64,100000,250000,stable,stable
Mapping Software Engineer (Mapbox/OSM),Engineering,4,8,8,6,64,110000,270000,stable,stable
Marketplace Engineer,Engineering,5,7,7,7,64,110000,280000,stable,stable
PCB Design Engineer,Engineering,3,9,9,5,64,90000,230000,stable,stable
Streaming Protocol Engineer (HLS/DASH),Engineering,4,8,8,6,64,120000,300000,stable,stable
Telemedicine Software Engineer,Engineering,5,7,7,7,64,100000,260000,stable,stable
Unreal Engine Engineer,Engineering,5,7,8,6,64,100000,260000,stable,stable
Head of Frontend,Engineering Leadership,5,7,7,7,64,170000,380000,stable,stable
5G Software Engineer,Platform & Infrastructure,4,8,8,6,64,110000,290000,rising,stable
Azure Engineer,Platform & Infrastructure,6,6,7,7,64,100000,260000,stable,stable
Build Engineer (Bazel/Buck),Platform & Infrastructure,4,8,8,6,64,130000,320000,stable,stable
GCP Engineer,Platform & Infrastructure,6,6,7,7,64,100000,270000,stable,stable
Neo4j / Graph Database Engineer,Platform & Infrastructure,4,8,8,6,64,110000,280000,stable,stable
Network Automation Engineer,Platform & Infrastructure,5,7,7,7,64,110000,270000,rising,stable
Network Engineer,Platform & Infrastructure,5,7,7,7,64,90000,220000,stable,stable
SDN Engineer,Platform & Infrastructure,4,8,8,6,64,110000,270000,stable,stable
Storage Architect,Platform & Infrastructure,4,8,8,6,64,130000,300000,stable,stable
Storage Engineer,Platform & Infrastructure,4,8,8,6,64,110000,270000,stable,stable
Wireless Software Engineer,Platform & Infrastructure,4,8,8,6,64,100000,260000,stable,stable
Product Designer,Product & Design,6,6,7,7,64,95000,250000,stable,stable
Quantitative UX Researcher,Product & Design,4,8,8,6,64,110000,260000,stable,stable
SDET / Test Infrastructure,Quality & Testing,6,6,7,7,64,100000,230000,stable,stable
Stress Test Engineer,Quality & Testing,4,8,8,6,64,100000,240000,stable,stable
Active Directory Security Engineer,Security,5,7,7,7,64,110000,270000,stable,stable
PKI Engineer,Security,4,8,8,6,64,110000,280000,stable,stable
macOS Security Engineer,Security,4,8,8,6,64,110000,280000,stable,stable
Developer Advocate / DevRel,Specialized & Emerging,5,7,7,7,64,110000,260000,stable,stable
Clojure Engineer,Engineering,3,8,9,6,63,110000,280000,declining,stable
DeFi Protocol Engineer,Engineering,3,8,9,6,63,130000,380000,declining,stable
Game Producer / Tech Producer,Engineering,4,8,7,6,63,90000,220000,stable,stable
Principal Frontend Engineer,Engineering,4,7,8,7,63,200000,480000,stable,stable
Web Accessibility (a11y) Engineer,Engineering,5,7,6,7,63,100000,260000,rising,stable
Engineering Operations Manager,Engineering Leadership,5,7,6,7,63,140000,320000,stable,stable
Cloud Cost Optimization Engineer,Platform & Infrastructure,5,7,6,7,63,110000,270000,rising,stable
Consumer Product Manager,Product & Design,5,7,6,7,63,120000,290000,stable,stable
Mobile Product Manager,Product & Design,5,7,6,7,63,120000,290000,stable,stable
HIPAA Compliance Engineer,Security,5,7,6,7,63,100000,240000,stable,stable
ISO 27001 Auditor,Security,5,7,6,7,63,100000,230000,stable,stable
PCI-DSS Compliance Engineer,Security,5,7,6,7,63,100000,240000,stable,stable
SOC 2 Compliance Engineer,Security,5,7,6,7,63,100000,240000,rising,stable
Program Manager (Software),Specialized & Emerging,5,7,6,7,63,110000,260000,stable,stable
Anthropic Claude API Engineer,Data & AI,7,5,6,7,62,120000,320000,rising,stable
AutoGen / Multi-agent Engineer,Data & AI,5,7,7,6,62,120000,300000,rising,stable
DBT Engineer,Data & AI,6,6,6,7,62,100000,250000,rising,stable
OpenAI GPT API Engineer,Data & AI,7,5,6,7,62,120000,320000,rising,stable
Android Engineer,Engineering,6,6,7,6,62,90000,250000,stable,stable
Full-Stack Engineer,Engineering,7,5,6,7,62,90000,260000,declining,stable
Full-Stack TypeScript Engineer,Engineering,7,5,6,7,62,100000,280000,rising,stable
Mobile Build / CI Engineer,Engineering,5,7,7,6,62,110000,270000,stable,stable
Mobile DevOps / Release Engineer,Engineering,5,7,7,6,62,110000,270000,stable,stable
Node.js Backend Engineer,Engineering,7,5,6,7,62,90000,260000,stable,stable
REST API Engineer,Engineering,7,5,6,7,62,90000,240000,stable,stable
TypeScript Specialist,Engineering,7,5,6,7,62,110000,280000,rising,stable
iOS Engineer,Engineering,6,6,7,6,62,95000,260000,stable,stable
Cloudflare Engineer,Platform & Infrastructure,5,7,7,6,62,110000,280000,rising,stable
Data Modeler,Platform & Infrastructure,5,7,7,6,62,100000,240000,stable,stable
Helm / Argo Engineer,Platform & Infrastructure,5,7,7,6,62,120000,290000,stable,stable
Logging Engineer (ELK/Loki/Splunk),Platform & Infrastructure,5,7,7,6,62,100000,260000,stable,stable
MySQL / MariaDB DBA,Platform & Infrastructure,6,6,7,6,62,95000,240000,stable,stable
Release Engineer,Platform & Infrastructure,5,7,7,6,62,100000,240000,stable,stable
UX Researcher,Product & Design,5,7,7,6,62,90000,220000,stable,stable
SAST Engineer,Security,5,7,7,6,62,100000,240000,stable,stable
SIEM Engineer,Security,5,7,7,6,62,100000,250000,stable,stable
Salesforce Developer,Specialized & Emerging,6,6,6,7,62,100000,240000,stable,stable
AR Engineer,Engineering,4,7,8,6,61,100000,270000,stable,stable
Ada Engineer (Defense),Engineering,2,9,9,5,61,110000,260000,stable,stable
CAM Software Engineer,Engineering,2,9,9,5,61,110000,270000,stable,stable
Cairo Developer (StarkNet),Engineering,2,9,9,5,61,110000,320000,stable,stable
Cardano Plutus Developer,Engineering,2,9,9,5,61,110000,280000,stable,stable
DAW Software Engineer,Engineering,2,9,9,5,61,110000,280000,stable,stable
Fortran Engineer (Scientific),Engineering,2,9,9,5,61,100000,240000,stable,stable
Linter / Formatter Maintainer,Engineering,3,8,8,6,61,110000,290000,stable,stable
Live Video / Broadcast Engineer,Engineering,3,8,8,6,61,110000,270000,stable,stable
Micro-frontends Architect,Engineering,4,7,8,6,61,130000,320000,stable,stable
Mixed Reality Engineer,Engineering,4,7,8,6,61,100000,270000,stable,stable
Move Developer (Sui/Aptos),Engineering,3,8,9,5,61,110000,320000,stable,stable
Search Backend Engineer (Solr),Engineering,4,7,8,6,61,110000,280000,declining,stable
Solidity Developer,Engineering,4,7,8,6,61,100000,300000,stable,stable
Staff Frontend Engineer,Engineering,5,6,7,7,61,170000,400000,stable,stable
Substrate Engineer (Polkadot),Engineering,2,9,9,5,61,110000,290000,stable,stable
VR Engineer,Engineering,4,7,8,6,61,100000,270000,stable,stable
Wearable Tech Engineer,Engineering,4,7,8,6,61,100000,250000,stable,stable
XR Engineer,Engineering,4,7,8,6,61,100000,270000,stable,stable
Cassandra Engineer,Platform & Infrastructure,4,7,8,6,61,110000,280000,stable,stable
CockroachDB / TiDB Engineer,Platform & Infrastructure,3,8,8,6,61,120000,290000,stable,stable
ScyllaDB Engineer,Platform & Infrastructure,3,8,8,6,61,120000,290000,stable,stable
Social Engineering Specialist,Security,3,9,7,5,61,90000,230000,stable,stable
API / Integration Engineer,Engineering,7,5,5,7,60,90000,240000,stable,stable
AgTech Software Engineer,Engineering,3,8,7,6,60,95000,230000,stable,stable
Django Engineer,Engineering,6,6,6,6,60,90000,230000,stable,stable
Game Engineer,Engineering,5,7,7,5,60,80000,220000,stable,stable
Gameplay Programmer,Engineering,5,7,7,5,60,80000,200000,stable,stable
Next.js / SSR Engineer,Engineering,7,5,6,6,60,100000,260000,rising,stable
Backup / Recovery Engineer,Platform & Infrastructure,4,7,6,7,60,95000,230000,stable,stable
DNS Engineer,Platform & Infrastructure,3,8,7,6,60,100000,240000,stable,stable
Data Center Engineer,Platform & Infrastructure,3,8,7,6,60,100000,240000,stable,stable
IT Director,Platform & Infrastructure,4,7,6,7,60,130000,280000,stable,stable
Oracle DBA,Platform & Infrastructure,5,6,8,6,60,110000,280000,declining,stable
Inclusive Design Specialist,Product & Design,3,8,7,6,60,95000,220000,rising,stable
Accessibility QA Engineer,Quality & Testing,4,7,6,7,60,90000,220000,rising,stable
Compliance Test Engineer,Quality & Testing,4,7,6,7,60,95000,230000,stable,stable
QA Manager,Quality & Testing,4,7,6,7,60,110000,250000,stable,stable
Intelligent Automation Engineer,Specialized & Emerging,6,6,6,6,60,100000,250000,rising,stable
AutoML Engineer,Data & AI,4,7,7,6,59,110000,280000,stable,stable
Data Augmentation Engineer,Data & AI,4,7,7,6,59,110000,280000,stable,stable
Data Warehouse Engineer,Data & AI,5,6,7,6,59,100000,250000,stable,stable
Database Administrator,Data & AI,5,6,7,6,59,90000,200000,declining,stable
Prefect / Dagster Engineer,Data & AI,4,7,7,6,59,110000,270000,rising,stable
Senior Analytics Engineer,Data & AI,5,6,7,6,59,110000,260000,stable,stable
Senior Data Scientist,Data & AI,5,5,8,7,59,140000,320000,stable,stable
TensorFlow Specialist,Data & AI,5,6,7,6,59,110000,280000,stable,stable
XGBoost / Gradient Boosting Specialist,Data & AI,5,6,7,6,59,110000,270000,stable,stable
BIM Software Engineer,Engineering,3,8,8,5,59,100000,250000,stable,stable
Code Quality Engineer,Engineering,4,7,7,6,59,110000,270000,stable,stable
Full-Stack Python Engineer,Engineering,6,5,6,7,59,95000,260000,stable,stable
Game Audio Programmer,Engineering,3,8,8,5,59,90000,230000,stable,stable
Game Live Ops Engineer,Engineering,4,7,7,6,59,100000,240000,stable,stable
Game Tools Programmer,Engineering,4,7,8,5,59,90000,230000,stable,stable
Hyperledger Fabric Engineer,Engineering,3,8,8,5,59,110000,280000,declining,stable
Insurance Tech Engineer (Insurtech),Engineering,4,7,7,6,59,100000,250000,stable,stable
Java EE / Jakarta EE Engineer,Engineering,4,7,7,6,59,90000,220000,declining,stable
Kotlin Multiplatform Engineer,Engineering,4,7,7,6,59,110000,270000,rising,stable
Legal Tech Engineer,Engineering,4,7,7,6,59,100000,250000,rising,stable
Mainframe Engineer,Engineering,3,8,8,5,59,100000,230000,declining,stable
Meta Quest Developer,Engineering,4,7,8,5,59,100000,260000,stable,stable
Photography Software Engineer,Engineering,3,8,8,5,59,100000,250000,stable,stable
Quarkus Engineer,Engineering,4,7,7,6,59,100000,240000,rising,stable
Ruby on Rails Engineer,Engineering,5,6,7,6,59,100000,260000,declining,stable
