role,category,score,tier,postings_2yr_pct,ai_mention_pct_2026,ai_mention_delta_pp,ai_impact_bucket
Data Reliability Engineer,Data & AI,69,stable,0.0,0,0,stable
Embedding Engineer,Data & AI,69,stable,0.0,0,0,stable
Feature Store Engineer,Data & AI,69,stable,0.0,0,0,stable
Genomics Pipeline Engineer,Data & AI,69,stable,0.0,0,0,stable
Iceberg / Delta / Hudi Engineer,Data & AI,69,stable,0.0,0,0,stable
Kafka Streams Engineer,Data & AI,69,stable,0.0,0,0,stable
ML Tooling Engineer (Ray/Dask),Data & AI,69,stable,0.0,0,0,stable
Model Deployment Engineer,Data & AI,69,stable,0.0,0,0,stable
Model Monitoring Engineer,Data & AI,69,stable,0.0,0,0,stable
Spark Engineer,Data & AI,69,stable,0.0,0,0,stable
Synthetic Data Engineer,Data & AI,69,stable,0.0,0,0,stable
Time Series ML Engineer,Data & AI,69,stable,0.0,0,0,stable
Vector Search Engineer,Data & AI,69,stable,0.0,0,0,stable
Application Architect,Engineering,69,stable,0.0,0,0,stable
Backend Caching Engineer,Engineering,69,stable,0.0,0,0,stable
Developer Tools Engineer,Engineering,69,stable,0.0,0,0,stable
Edge Runtime Engineer (Cloudflare Workers/Deno Deploy),Engineering,69,stable,0.0,0,0,stable
Game AI Programmer,Engineering,69,stable,0.0,0,0,stable
HL7 / FHIR Integration Engineer,Engineering,69,stable,0.0,0,0,stable
Hardware Validation Engineer,Engineering,69,stable,0.0,0,0,stable
Industrial Control / PLC Engineer,Engineering,69,stable,0.0,0,0,stable
Industrial Robotics Programmer,Engineering,69,stable,0.0,0,0,stable
IoT Edge Engineer,Engineering,69,stable,0.0,0,0,stable
Mobile Performance Engineer,Engineering,69,stable,0.0,0,0,stable
Pricing / Monetization Engineer,Engineering,69,stable,0.0,0,0,stable
Refactoring / Modernization Engineer,Engineering,69,stable,0.0,0,0,stable
Rust Smart Contract Engineer (Solana),Engineering,69,stable,0.0,0,0,stable
Senior Android Engineer,Engineering,69,stable,0.0,0,0,stable
Senior iOS Engineer,Engineering,69,stable,0.0,0,0,stable
Streaming Media Engineer,Engineering,69,stable,0.0,0,0,stable
Workflow Engine Engineer (Temporal/Cadence),Engineering,69,stable,0.0,0,0,stable
Yocto / Buildroot Engineer,Engineering,69,stable,0.0,0,0,stable
gRPC / Protobuf Engineer,Engineering,69,stable,0.0,0,0,stable
Backstage Engineer,Platform & Infrastructure,69,stable,0.0,0,0,stable
ClickHouse Engineer,Platform & Infrastructure,69,stable,0.0,0,0,stable
Database Engineer / DBA,Platform & Infrastructure,69,stable,0.0,0,0,stable
Database Reliability Engineer,Platform & Infrastructure,69,stable,0.0,0,0,stable
Edge Computing Engineer,Platform & Infrastructure,69,stable,0.0,0,0,stable
GCP Data Engineer,Platform & Infrastructure,69,stable,0.0,0,0,stable
Multi-cloud Architect,Platform & Infrastructure,69,stable,0.0,0,0,stable
Network Architect,Platform & Infrastructure,69,stable,0.0,0,0,stable
PostgreSQL DBA,Platform & Infrastructure,69,stable,0.0,0,0,stable
Service Mesh Engineer (Istio/Linkerd),Platform & Infrastructure,69,stable,0.0,0,0,stable
Tracing Engineer (OpenTelemetry/Jaeger),Platform & Infrastructure,69,stable,0.0,0,0,stable
Growth Product Manager,Product & Design,69,stable,0.0,0,0,stable
Senior Product Designer,Product & Design,69,stable,0.0,0,0,stable
Senior UX Researcher,Product & Design,69,stable,0.0,0,0,stable
Staff Product Designer,Product & Design,69,stable,0.0,0,0,stable
Performance / Load Test Engineer,Quality & Testing,69,stable,0.0,0,0,stable
Staff SDET,Quality & Testing,69,stable,0.0,0,0,stable
Linux Security Engineer,Security,69,stable,0.0,0,0,stable
Mobile Application Pentester,Security,69,stable,0.0,0,0,stable
Mobile Security Engineer,Security,69,stable,0.0,0,0,stable
Network Pentester,Security,69,stable,0.0,0,0,stable
Experimentation Platform Engineer,Specialized & Emerging,69,stable,0.0,0,0,stable
Salesforce Architect,Specialized & Emerging,69,stable,0.0,0,0,stable
Senior Developer Advocate,Specialized & Emerging,69,stable,0.0,0,0,stable
AI Curriculum / Training Lead,Data & AI,68,stable,0.0,0,0,stable
Causal Inference Scientist,Data & AI,68,stable,0.0,0,0,stable
BCI (Brain-Computer Interface) Engineer,Engineering,68,stable,0.0,0,0,stable
BSD Kernel Engineer,Engineering,68,stable,0.0,0,0,stable
Browser Engine Engineer (Gecko/Firefox),Engineering,68,stable,0.0,0,0,stable
Erlang Engineer,Engineering,68,stable,0.0,0,0,stable
Event Sourcing / CQRS Engineer,Engineering,68,stable,0.0,0,0,stable
MEV Engineer / Searcher,Engineering,68,stable,0.0,0,0,stable
Photonics Software Engineer,Engineering,68,stable,0.0,0,0,stable
Quantum Compiler Engineer,Engineering,68,stable,0.0,0,0,stable
Scala Backend Engineer,Engineering,68,stable,0.0,0,0,stable
Search Backend Engineer (Vespa),Engineering,68,stable,0.0,0,0,stable
Design Manager,Product & Design,68,stable,0.0,0,0,stable
Principal Product Designer,Product & Design,68,stable,0.0,0,0,stable
Blockchain Security Auditor,Security,68,stable,0.0,0,0,stable
Foundation Engineer (CNCF/Apache),Specialized & Emerging,68,stable,0.0,0,0,stable
Senior Implementation Engineer,Specialized & Emerging,68,stable,0.0,0,0,stable
Standards Engineer (W3C/IETF),Specialized & Emerging,68,stable,0.0,0,0,stable
AI Tooling Engineer,Data & AI,67,stable,0.0,0,0,stable
Conversational AI Engineer,Data & AI,67,stable,0.0,0,0,stable
Data Pipeline Engineer,Data & AI,67,stable,0.0,0,0,stable
LangGraph / Agent Framework Engineer,Data & AI,67,stable,0.0,0,0,stable
SageMaker Engineer,Data & AI,67,stable,0.0,0,0,stable
Snowflake Data Engineer,Data & AI,67,stable,0.0,0,0,stable
FastAPI Engineer,Engineering,67,stable,0.0,0,0,stable
Java Backend Engineer,Engineering,67,stable,0.0,0,0,stable
Java Spring / Spring Boot Engineer,Engineering,67,stable,0.0,0,0,stable
Job Scheduler Engineer (Airflow/Prefect),Engineering,67,stable,0.0,0,0,stable
Kotlin Backend Engineer,Engineering,67,stable,0.0,0,0,stable
Senior Full-Stack Engineer,Engineering,67,stable,0.0,0,0,stable
Senior Game Engineer,Engineering,67,stable,0.0,0,0,stable
AWS Engineer,Platform & Infrastructure,67,stable,0.0,0,0,stable
Azure DevOps Engineer,Platform & Infrastructure,67,stable,0.0,0,0,stable
BigQuery Engineer,Platform & Infrastructure,67,stable,0.0,0,0,stable
Disaster Recovery Engineer,Platform & Infrastructure,67,stable,0.0,0,0,stable
Identity Engineer (Corp IT — Okta/Azure AD),Platform & Infrastructure,67,stable,0.0,0,0,stable
Monitoring Engineer (Prometheus/Grafana),Platform & Infrastructure,67,stable,0.0,0,0,stable
Redis Engineer,Platform & Infrastructure,67,stable,0.0,0,0,stable
Senior SDET,Quality & Testing,67,stable,0.0,0,0,stable
Endpoint Security Engineer,Security,67,stable,0.0,0,0,stable
SOC Analyst (Tier 3),Security,67,stable,0.0,0,0,stable
Security Operations Engineer,Security,67,stable,0.0,0,0,stable
Threat Intelligence Analyst,Security,67,stable,0.0,0,0,stable
Post-sales / Customer Engineer,Specialized & Emerging,67,stable,0.0,0,0,stable
Senior Salesforce Developer,Specialized & Emerging,67,stable,0.0,0,0,stable
AdTech ML Engineer,Data & AI,66,stable,0.0,0,0,stable
CDC (Change Data Capture) Engineer,Data & AI,66,stable,0.0,0,0,stable
Experimentation Scientist (A/B testing),Data & AI,66,stable,0.0,0,0,stable
Staff Data Scientist,Data & AI,66,stable,0.0,0,0,stable
Airline Software Engineer,Engineering,66,stable,0.0,0,0,stable
Apple Vision Pro Application Engineer,Engineering,66,stable,0.0,0,0,stable
CAD Software Engineer,Engineering,66,stable,0.0,0,0,stable
Color Science Engineer,Engineering,66,stable,0.0,0,0,stable
Console Game Engineer,Engineering,66,stable,0.0,0,0,stable
Cosmos SDK Engineer,Engineering,66,stable,0.0,0,0,stable
Decentralized Identity Engineer,Engineering,66,stable,0.0,0,0,stable
Elixir / Phoenix Engineer,Engineering,66,stable,0.0,0,0,stable
Eye Tracking Engineer,Engineering,66,stable,0.0,0,0,stable
Frontend Architect,Engineering,66,stable,0.0,0,0,stable
Frontend Performance Engineer,Engineering,66,stable,0.0,0,0,stable
Game Network Programmer,Engineering,66,stable,0.0,0,0,stable
Hand Tracking / Gesture Recognition Engineer,Engineering,66,stable,0.0,0,0,stable
Hardware Wallet Firmware Engineer,Engineering,66,stable,0.0,0,0,stable
IoT Software Engineer,Engineering,66,stable,0.0,0,0,stable
Logistics Software Engineer,Engineering,66,stable,0.0,0,0,stable
Mainframe Modernization Engineer,Engineering,66,stable,0.0,0,0,stable
Mobile Architect,Engineering,66,stable,0.0,0,0,stable
OpenGL Engineer,Engineering,66,stable,0.0,0,0,stable
Pharma Software Engineer,Engineering,66,stable,0.0,0,0,stable
Smart Contract Engineer,Engineering,66,stable,0.0,0,0,stable
Spatial Computing Engineer,Engineering,66,stable,0.0,0,0,stable
Supply Chain Software Engineer,Engineering,66,stable,0.0,0,0,stable
VR Game Engineer,Engineering,66,stable,0.0,0,0,stable
WebGL / WebGPU Engineer,Engineering,66,stable,0.0,0,0,stable
Zig Engineer,Engineering,66,stable,0.0,0,0,stable
visionOS / Apple Vision Pro Engineer,Engineering,66,stable,0.0,0,0,stable
Capacity Planning Engineer,Platform & Infrastructure,66,stable,0.0,0,0,stable
Elasticsearch DBA / Engineer,Platform & Infrastructure,66,stable,0.0,0,0,stable
File System Engineer,Platform & Infrastructure,66,stable,0.0,0,0,stable
FinOps Practitioner,Platform & Infrastructure,66,stable,0.0,0,0,stable
Senior Network Engineer,Platform & Infrastructure,66,stable,0.0,0,0,stable
Implementation Engineer,Specialized & Emerging,66,stable,0.0,0,0,stable
NLP Engineer,Data & AI,65,stable,0.0,0,0,stable
Haskell Engineer,Engineering,65,stable,0.0,0,0,stable
OCaml Engineer,Engineering,65,stable,0.0,0,0,stable
Sustainability Tech Engineer,Engineering,65,stable,0.0,0,0,stable
Quality Engineering Director,Quality & Testing,65,stable,0.0,0,0,stable
Field Engineer,Specialized & Emerging,65,stable,0.0,0,0,stable
Open Source Program Manager (OSPO),Specialized & Emerging,65,stable,0.0,0,0,stable
Active Learning Engineer,Data & AI,64,stable,0.0,0,0,stable
Azure ML Engineer,Data & AI,64,stable,0.0,0,0,stable
Beam / Dataflow Engineer,Data & AI,64,stable,0.0,0,0,stable
BigQuery Data Engineer,Data & AI,64,stable,0.0,0,0,stable
Data Lake Engineer,Data & AI,64,stable,0.0,0,0,stable
Flink Engineer,Data & AI,64,stable,0.0,0,0,stable
Llama Fine-tuning Engineer,Data & AI,64,stable,0.0,0,0,stable
Vertex AI Engineer,Data & AI,64,stable,0.0,0,0,stable
Android Auto / CarPlay Engineer,Engineering,64,stable,0.0,0,0,stable
Audio Plugin Developer (VST),Engineering,64,stable,0.0,0,0,stable
Banking Software Engineer,Engineering,64,stable,0.0,0,0,stable
C# / .NET Backend Engineer,Engineering,64,stable,0.0,0,0,stable
Crypto Exchange Engineer,Engineering,64,stable,0.0,0,0,stable
Crypto Wallet Engineer,Engineering,64,stable,0.0,0,0,stable
E-commerce Backend Engineer,Engineering,64,stable,0.0,0,0,stable
EHR Integration Engineer,Engineering,64,stable,0.0,0,0,stable
Frontend Build / Tooling Engineer,Engineering,64,stable,0.0,0,0,stable
GIS Developer,Engineering,64,stable,0.0,0,0,stable
Game Server Engineer,Engineering,64,stable,0.0,0,0,stable
Geospatial Software Engineer,Engineering,64,stable,0.0,0,0,stable
Government / GovTech Engineer,Engineering,64,stable,0.0,0,0,stable
GraphQL Engineer,Engineering,64,stable,0.0,0,0,stable
Haptics Engineer,Engineering,64,stable,0.0,0,0,stable
Hardware Test Engineer,Engineering,64,stable,0.0,0,0,stable
Mapping Software Engineer (Mapbox/OSM),Engineering,64,stable,0.0,0,0,stable
Marketplace Engineer,Engineering,64,stable,0.0,0,0,stable
PCB Design Engineer,Engineering,64,stable,0.0,0,0,stable
Streaming Protocol Engineer (HLS/DASH),Engineering,64,stable,0.0,0,0,stable
Telemedicine Software Engineer,Engineering,64,stable,0.0,0,0,stable
Unreal Engine Engineer,Engineering,64,stable,0.0,0,0,stable
Head of Frontend,Engineering Leadership,64,stable,0.0,0,0,stable
5G Software Engineer,Platform & Infrastructure,64,stable,0.0,0,0,stable
Azure Engineer,Platform & Infrastructure,64,stable,0.0,0,0,stable
Build Engineer (Bazel/Buck),Platform & Infrastructure,64,stable,0.0,0,0,stable
GCP Engineer,Platform & Infrastructure,64,stable,0.0,0,0,stable
Neo4j / Graph Database Engineer,Platform & Infrastructure,64,stable,0.0,0,0,stable
Network Automation Engineer,Platform & Infrastructure,64,stable,0.0,0,0,stable
Network Engineer,Platform & Infrastructure,64,stable,0.0,0,0,stable
SDN Engineer,Platform & Infrastructure,64,stable,0.0,0,0,stable
Storage Architect,Platform & Infrastructure,64,stable,0.0,0,0,stable
Storage Engineer,Platform & Infrastructure,64,stable,0.0,0,0,stable
Wireless Software Engineer,Platform & Infrastructure,64,stable,0.0,0,0,stable
Quantitative UX Researcher,Product & Design,64,stable,0.0,0,0,stable
Stress Test Engineer,Quality & Testing,64,stable,0.0,0,0,stable
Active Directory Security Engineer,Security,64,stable,0.0,0,0,stable
PKI Engineer,Security,64,stable,0.0,0,0,stable
macOS Security Engineer,Security,64,stable,0.0,0,0,stable
Developer Advocate / DevRel,Specialized & Emerging,64,stable,0.0,0,0,stable
Clojure Engineer,Engineering,63,stable,0.0,0,0,stable
DeFi Protocol Engineer,Engineering,63,stable,0.0,0,0,stable
Game Producer / Tech Producer,Engineering,63,stable,0.0,0,0,stable
Principal Frontend Engineer,Engineering,63,stable,0.0,0,0,stable
Web Accessibility (a11y) Engineer,Engineering,63,stable,0.0,0,0,stable
Engineering Operations Manager,Engineering Leadership,63,stable,0.0,0,0,stable
Cloud Cost Optimization Engineer,Platform & Infrastructure,63,stable,0.0,0,0,stable
Consumer Product Manager,Product & Design,63,stable,0.0,0,0,stable
Mobile Product Manager,Product & Design,63,stable,0.0,0,0,stable
HIPAA Compliance Engineer,Security,63,stable,0.0,0,0,stable
ISO 27001 Auditor,Security,63,stable,0.0,0,0,stable
PCI-DSS Compliance Engineer,Security,63,stable,0.0,0,0,stable
SOC 2 Compliance Engineer,Security,63,stable,0.0,0,0,stable
Program Manager (Software),Specialized & Emerging,63,stable,0.0,0,0,stable
Anthropic Claude API Engineer,Data & AI,62,stable,0.0,0,0,stable
AutoGen / Multi-agent Engineer,Data & AI,62,stable,0.0,0,0,stable
DBT Engineer,Data & AI,62,stable,0.0,0,0,stable
OpenAI GPT API Engineer,Data & AI,62,stable,0.0,0,0,stable
Full-Stack TypeScript Engineer,Engineering,62,stable,0.0,0,0,stable
Mobile Build / CI Engineer,Engineering,62,stable,0.0,0,0,stable
Mobile DevOps / Release Engineer,Engineering,62,stable,0.0,0,0,stable
Node.js Backend Engineer,Engineering,62,stable,0.0,0,0,stable
REST API Engineer,Engineering,62,stable,0.0,0,0,stable
TypeScript Specialist,Engineering,62,stable,0.0,0,0,stable
Cloudflare Engineer,Platform & Infrastructure,62,stable,0.0,0,0,stable
Data Modeler,Platform & Infrastructure,62,stable,0.0,0,0,stable
Helm / Argo Engineer,Platform & Infrastructure,62,stable,0.0,0,0,stable
Logging Engineer (ELK/Loki/Splunk),Platform & Infrastructure,62,stable,0.0,0,0,stable
MySQL / MariaDB DBA,Platform & Infrastructure,62,stable,0.0,0,0,stable
Release Engineer,Platform & Infrastructure,62,stable,0.0,0,0,stable
UX Researcher,Product & Design,62,stable,0.0,0,0,stable
SAST Engineer,Security,62,stable,0.0,0,0,stable
SIEM Engineer,Security,62,stable,0.0,0,0,stable
Salesforce Developer,Specialized & Emerging,62,stable,0.0,0,0,stable
AR Engineer,Engineering,61,stable,0.0,0,0,stable
Ada Engineer (Defense),Engineering,61,stable,0.0,0,0,stable
CAM Software Engineer,Engineering,61,stable,0.0,0,0,stable
Cairo Developer (StarkNet),Engineering,61,stable,0.0,0,0,stable
Cardano Plutus Developer,Engineering,61,stable,0.0,0,0,stable
DAW Software Engineer,Engineering,61,stable,0.0,0,0,stable
Fortran Engineer (Scientific),Engineering,61,stable,0.0,0,0,stable
Linter / Formatter Maintainer,Engineering,61,stable,0.0,0,0,stable
Live Video / Broadcast Engineer,Engineering,61,stable,0.0,0,0,stable
Micro-frontends Architect,Engineering,61,stable,0.0,0,0,stable
Mixed Reality Engineer,Engineering,61,stable,0.0,0,0,stable
Move Developer (Sui/Aptos),Engineering,61,stable,0.0,0,0,stable
Search Backend Engineer (Solr),Engineering,61,stable,0.0,0,0,stable
Solidity Developer,Engineering,61,stable,0.0,0,0,stable
Staff Frontend Engineer,Engineering,61,stable,0.0,0,0,stable
Substrate Engineer (Polkadot),Engineering,61,stable,0.0,0,0,stable
VR Engineer,Engineering,61,stable,0.0,0,0,stable
Wearable Tech Engineer,Engineering,61,stable,0.0,0,0,stable
XR Engineer,Engineering,61,stable,0.0,0,0,stable
Cassandra Engineer,Platform & Infrastructure,61,stable,0.0,0,0,stable
CockroachDB / TiDB Engineer,Platform & Infrastructure,61,stable,0.0,0,0,stable
ScyllaDB Engineer,Platform & Infrastructure,61,stable,0.0,0,0,stable
Social Engineering Specialist,Security,61,stable,0.0,0,0,stable
API / Integration Engineer,Engineering,60,stable,0.0,0,0,stable
AgTech Software Engineer,Engineering,60,stable,0.0,0,0,stable
Django Engineer,Engineering,60,stable,0.0,0,0,stable
Game Engineer,Engineering,60,stable,0.0,0,0,stable
Gameplay Programmer,Engineering,60,stable,0.0,0,0,stable
Next.js / SSR Engineer,Engineering,60,stable,0.0,0,0,stable
Backup / Recovery Engineer,Platform & Infrastructure,60,stable,0.0,0,0,stable
DNS Engineer,Platform & Infrastructure,60,stable,0.0,0,0,stable
Data Center Engineer,Platform & Infrastructure,60,stable,0.0,0,0,stable
IT Director,Platform & Infrastructure,60,stable,0.0,0,0,stable
Oracle DBA,Platform & Infrastructure,60,stable,0.0,0,0,stable
Inclusive Design Specialist,Product & Design,60,stable,0.0,0,0,stable
Accessibility QA Engineer,Quality & Testing,60,stable,0.0,0,0,stable
Compliance Test Engineer,Quality & Testing,60,stable,0.0,0,0,stable
QA Manager,Quality & Testing,60,stable,0.0,0,0,stable
Intelligent Automation Engineer,Specialized & Emerging,60,stable,0.0,0,0,stable
AutoML Engineer,Data & AI,59,stable,0.0,0,0,stable
Data Augmentation Engineer,Data & AI,59,stable,0.0,0,0,stable
Data Warehouse Engineer,Data & AI,59,stable,0.0,0,0,stable
Database Administrator,Data & AI,59,stable,0.0,0,0,stable
Prefect / Dagster Engineer,Data & AI,59,stable,0.0,0,0,stable
Senior Analytics Engineer,Data & AI,59,stable,0.0,0,0,stable
Senior Data Scientist,Data & AI,59,stable,0.0,0,0,stable
TensorFlow Specialist,Data & AI,59,stable,0.0,0,0,stable
XGBoost / Gradient Boosting Specialist,Data & AI,59,stable,0.0,0,0,stable
BIM Software Engineer,Engineering,59,stable,0.0,0,0,stable
Code Quality Engineer,Engineering,59,stable,0.0,0,0,stable
Full-Stack Python Engineer,Engineering,59,stable,0.0,0,0,stable
Game Audio Programmer,Engineering,59,stable,0.0,0,0,stable
Game Live Ops Engineer,Engineering,59,stable,0.0,0,0,stable
Game Tools Programmer,Engineering,59,stable,0.0,0,0,stable
Hyperledger Fabric Engineer,Engineering,59,stable,0.0,0,0,stable
Insurance Tech Engineer (Insurtech),Engineering,59,stable,0.0,0,0,stable
Java EE / Jakarta EE Engineer,Engineering,59,stable,0.0,0,0,stable
Kotlin Multiplatform Engineer,Engineering,59,stable,0.0,0,0,stable
Legal Tech Engineer,Engineering,59,stable,0.0,0,0,stable
Mainframe Engineer,Engineering,59,stable,0.0,0,0,stable
Meta Quest Developer,Engineering,59,stable,0.0,0,0,stable
Photography Software Engineer,Engineering,59,stable,0.0,0,0,stable
Quarkus Engineer,Engineering,59,stable,0.0,0,0,stable
Ruby on Rails Engineer,Engineering,59,stable,0.0,0,0,stable
T3 / tRPC Stack Engineer,Engineering,59,stable,0.0,0,0,stable
Unity XR Developer,Engineering,59,stable,0.0,0,0,stable
Alibaba Cloud Engineer,Platform & Infrastructure,59,stable,0.0,0,0,stable
Block Storage Engineer,Platform & Infrastructure,59,stable,0.0,0,0,stable
CDN Engineer,Platform & Infrastructure,59,stable,0.0,0,0,stable
DuckDB Engineer,Platform & Infrastructure,59,stable,0.0,0,0,stable
DynamoDB Specialist,Platform & Infrastructure,59,stable,0.0,0,0,stable
MongoDB Engineer,Platform & Infrastructure,59,stable,0.0,0,0,stable
Monorepo Engineer (Nx/Turborepo),Platform & Infrastructure,59,stable,0.0,0,0,stable
Object Storage Engineer (S3/MinIO),Platform & Infrastructure,59,stable,0.0,0,0,stable
SQL Server DBA,Platform & Infrastructure,59,stable,0.0,0,0,stable
Service Catalog Engineer,Platform & Infrastructure,59,stable,0.0,0,0,stable
Industrial Designer (hardware-software products),Product & Design,59,stable,0.0,0,0,stable
Service Designer,Product & Design,59,stable,0.0,0,0,stable
Hardware QA Engineer,Quality & Testing,59,stable,0.0,0,0,stable
DAST Engineer,Security,59,stable,0.0,0,0,stable
Windows Security Engineer,Security,59,stable,0.0,0,0,stable
Wireless Pentester,Security,59,stable,0.0,0,0,stable
A/B Testing Engineer,Specialized & Emerging,59,stable,0.0,0,0,stable
SAP HANA Developer,Specialized & Emerging,59,stable,0.0,0,0,stable
AI Trainer / RLHF Annotator,Data & AI,58,stable,0.0,0,0,stable
Active Learning / Labeling Operations Lead,Data & AI,58,stable,0.0,0,0,stable
Head of QA,Engineering Leadership,58,stable,0.0,0,0,stable
Conversational Designer,Product & Design,58,stable,0.0,0,0,stable
Product Operations Manager,Product & Design,58,stable,0.0,0,0,stable
Developer Educator,Specialized & Emerging,58,stable,0.0,0,0,stable
Developer Marketing Engineer,Specialized & Emerging,58,stable,0.0,0,0,stable
Airflow Engineer,Data & AI,57,exposed,0.0,0,0,stable
LangChain / LlamaIndex Engineer,Data & AI,57,exposed,0.0,0,0,stable
ASP.NET Engineer,Engineering,57,exposed,0.0,0,0,stable
Flutter Engineer,Engineering,57,exposed,0.0,0,0,stable
Game Build / Pipeline Engineer,Engineering,57,exposed,0.0,0,0,stable
Game Telemetry Engineer,Engineering,57,exposed,0.0,0,0,stable
HarmonyOS Engineer,Engineering,57,exposed,0.0,0,0,stable
IDE Plugin Developer,Engineering,57,exposed,0.0,0,0,stable
Junior Backend Engineer,Engineering,57,exposed,0.0,0,0,stable
MERN Stack Engineer,Engineering,57,exposed,0.0,0,0,stable
Mobile Game Engineer,Engineering,57,exposed,0.0,0,0,stable
NestJS Engineer,Engineering,57,exposed,0.0,0,0,stable
React Native Engineer,Engineering,57,exposed,0.0,0,0,stable
Senior Frontend Engineer,Engineering,57,exposed,0.0,0,0,stable
Unity Engineer,Engineering,57,exposed,0.0,0,0,stable
Deployment Engineer,Platform & Infrastructure,57,exposed,0.0,0,0,stable
Endpoint Management Engineer (Intune/Jamf),Platform & Infrastructure,57,exposed,0.0,0,0,stable
Telecom Software Engineer,Platform & Infrastructure,57,exposed,0.0,0,0,stable
CDP / Customer Data Platform Engineer,Specialized & Emerging,57,exposed,0.0,0,0,stable
Customer Success Engineer,Specialized & Emerging,57,exposed,0.0,0,0,stable
Stripe Integration Engineer,Specialized & Emerging,57,exposed,0.0,0,0,stable
Workflow Automation Engineer,Specialized & Emerging,57,exposed,0.0,0,0,stable
Decision Scientist,Data & AI,56,exposed,0.0,0,0,stable
3D Printing Software Engineer,Engineering,56,exposed,0.0,0,0,stable
Bun.sh Engineer,Engineering,56,exposed,0.0,0,0,stable
COBOL Developer,Engineering,56,exposed,0.0,0,0,stable
IPFS / Filecoin Engineer,Engineering,56,exposed,0.0,0,0,stable
Micronaut Engineer,Engineering,56,exposed,0.0,0,0,stable
Oracle (Chainlink) Engineer,Engineering,56,exposed,0.0,0,0,stable
Unreal XR Developer,Engineering,56,exposed,0.0,0,0,stable
Vyper Developer,Engineering,56,exposed,0.0,0,0,stable
z/OS Engineer,Engineering,56,exposed,0.0,0,0,stable
Onboarding Engineer,Specialized & Emerging,56,exposed,0.0,0,0,stable
Project Manager (Software),Specialized & Emerging,56,exposed,0.0,0,0,stable
Chatbot Engineer,Data & AI,55,exposed,0.0,0,0,stable
Product Data Scientist,Data & AI,55,exposed,0.0,0,0,stable
Cruise / Maritime Software Engineer,Engineering,55,exposed,0.0,0,0,stable
Express.js Engineer,Engineering,55,exposed,0.0,0,0,stable
Internal Tools Engineer,Engineering,55,exposed,0.0,0,0,stable
React Engineer,Engineering,55,exposed,0.0,0,0,stable
SOC Analyst (Tier 2),Security,55,exposed,0.0,0,0,stable
Curriculum Designer (Technical),Specialized & Emerging,55,exposed,0.0,0,0,stable
AdTech Engineer,Engineering,54,exposed,0.0,0,0,stable
Algorand Developer,Engineering,54,exposed,0.0,0,0,stable
Angular Engineer,Engineering,54,exposed,0.0,0,0,stable
Cartography Engineer,Engineering,54,exposed,0.0,0,0,stable
Construction Tech Engineer,Engineering,54,exposed,0.0,0,0,stable
Corda / R3 Engineer,Engineering,54,exposed,0.0,0,0,stable
E-discovery Engineer,Engineering,54,exposed,0.0,0,0,stable
EdTech Engineer,Engineering,54,exposed,0.0,0,0,stable
Flask Engineer,Engineering,54,exposed,0.0,0,0,stable
HR Tech Engineer,Engineering,54,exposed,0.0,0,0,stable
Internationalization (i18n) Engineer,Engineering,54,exposed,0.0,0,0,stable
JetBrains Plugin Developer,Engineering,54,exposed,0.0,0,0,stable
Laravel Engineer,Engineering,54,exposed,0.0,0,0,stable
MarTech Engineer,Engineering,54,exposed,0.0,0,0,stable
Mental Health Tech Engineer,Engineering,54,exposed,0.0,0,0,stable
Middleware Engineer,Engineering,54,exposed,0.0,0,0,stable
Music Tech Engineer,Engineering,54,exposed,0.0,0,0,stable
PHP Backend Engineer,Engineering,54,exposed,0.0,0,0,stable
Real Estate Tech Engineer (Proptech),Engineering,54,exposed,0.0,0,0,stable
Tezos Developer,Engineering,54,exposed,0.0,0,0,stable
Travel Tech Engineer,Engineering,54,exposed,0.0,0,0,stable
Webpack / Vite Specialist,Engineering,54,exposed,0.0,0,0,stable
Hetzner / Bare Metal Specialist,Platform & Infrastructure,54,exposed,0.0,0,0,stable
InfluxDB Engineer,Platform & Infrastructure,54,exposed,0.0,0,0,stable
Linux Sysadmin,Platform & Infrastructure,54,exposed,0.0,0,0,stable
Load Balancer Engineer,Platform & Infrastructure,54,exposed,0.0,0,0,stable
Oracle Cloud Engineer,Platform & Infrastructure,54,exposed,0.0,0,0,stable
TimescaleDB Engineer,Platform & Infrastructure,54,exposed,0.0,0,0,stable
VoIP / SIP Engineer,Platform & Infrastructure,54,exposed,0.0,0,0,stable
Associate Product Manager,Product & Design,54,exposed,0.0,0,0,stable
Information Architect,Product & Design,54,exposed,0.0,0,0,stable
Interaction Designer,Product & Design,54,exposed,0.0,0,0,stable
Marketing Product Manager,Product & Design,54,exposed,0.0,0,0,stable
Senior Content Designer,Product & Design,54,exposed,0.0,0,0,stable
Voice Interface Designer,Product & Design,54,exposed,0.0,0,0,stable
API Test Engineer,Quality & Testing,54,exposed,0.0,0,0,stable
Playwright Engineer,Quality & Testing,54,exposed,0.0,0,0,stable
QA Lead,Quality & Testing,54,exposed,0.0,0,0,stable
Test Data Engineer,Quality & Testing,54,exposed,0.0,0,0,stable
Documentation Engineer,Specialized & Emerging,54,exposed,0.0,0,0,stable
Feature Flag Engineer (LaunchDarkly/Split),Specialized & Emerging,54,exposed,0.0,0,0,stable
SAP ABAP Developer,Specialized & Emerging,54,exposed,0.0,0,0,stable
SAP Basis Administrator,Specialized & Emerging,54,exposed,0.0,0,0,stable
