role,category,tc_low_canonical_usd,tc_high_canonical_usd,tc_low_glassdoor_simulated_usd,tc_high_glassdoor_simulated_usd,base_low_glassdoor_simulated_usd,base_high_glassdoor_simulated_usd,sample_size_simulated,levels_fyi_anchor_role,levels_fyi_anchor_median_usd
Growth Product Manager,Product & Design,130000,320000,,,,,,,
Senior Product Designer,Product & Design,130000,300000,,,,,,,
Senior UX Researcher,Product & Design,120000,270000,,,,,,,
Staff Product Designer,Product & Design,170000,380000,,,,,,,
Performance / Load Test Engineer,Quality & Testing,100000,250000,,,,,,,
Staff SDET,Quality & Testing,160000,350000,,,,,,,
Linux Security Engineer,Security,110000,280000,,,,,,,
Mobile Application Pentester,Security,100000,260000,,,,,,,
Mobile Security Engineer,Security,110000,290000,,,,,,,
Network Pentester,Security,95000,240000,,,,,,,
Experimentation Platform Engineer,Specialized & Emerging,130000,310000,,,,,,,
Salesforce Architect,Specialized & Emerging,150000,320000,,,,,,,
Senior Developer Advocate,Specialized & Emerging,140000,320000,,,,,,,
AI Curriculum / Training Lead,Data & AI,130000,320000,,,,,,,
Causal Inference Scientist,Data & AI,140000,320000,,,,,,,
BCI (Brain-Computer Interface) Engineer,Engineering,140000,380000,,,,,,,
BSD Kernel Engineer,Engineering,130000,350000,,,,,,,
Browser Engine Engineer (Gecko/Firefox),Engineering,150000,400000,,,,,,,
Erlang Engineer,Engineering,120000,290000,,,,,,,
Event Sourcing / CQRS Engineer,Engineering,130000,350000,,,,,,,
MEV Engineer / Searcher,Engineering,150000,500000,,,,,,,
Photonics Software Engineer,Engineering,130000,350000,,,,,,,
Quantum Compiler Engineer,Engineering,140000,380000,,,,,,,
Scala Backend Engineer,Engineering,130000,320000,,,,,,,
Search Backend Engineer (Vespa),Engineering,130000,340000,,,,,,,
Design Manager,Product & Design,130000,320000,,,,,,,
Principal Product Designer,Product & Design,200000,450000,,,,,,,
Blockchain Security Auditor,Security,120000,350000,,,,,,,
Foundation Engineer (CNCF/Apache),Specialized & Emerging,130000,340000,,,,,,,
Senior Implementation Engineer,Specialized & Emerging,130000,290000,,,,,,,
Standards Engineer (W3C/IETF),Specialized & Emerging,130000,340000,,,,,,,
AI Tooling Engineer,Data & AI,130000,330000,,,,,,,
Conversational AI Engineer,Data & AI,120000,320000,,,,,,,
Data Pipeline Engineer,Data & AI,110000,280000,,,,,,,
LangGraph / Agent Framework Engineer,Data & AI,120000,310000,,,,,,,
SageMaker Engineer,Data & AI,130000,310000,,,,,,,
Snowflake Data Engineer,Data & AI,120000,290000,,,,,,,
FastAPI Engineer,Engineering,100000,260000,,,,,,,
Java Backend Engineer,Engineering,100000,270000,,,,,,,
Java Spring / Spring Boot Engineer,Engineering,100000,270000,,,,,,,
Job Scheduler Engineer (Airflow/Prefect),Engineering,120000,300000,,,,,,,
Kotlin Backend Engineer,Engineering,110000,280000,,,,,,,
Senior Full-Stack Engineer,Engineering,130000,310000,,,,,,,
Senior Game Engineer,Engineering,120000,280000,,,,,,,
AWS Engineer,Platform & Infrastructure,100000,270000,,,,,,,
Azure DevOps Engineer,Platform & Infrastructure,110000,280000,,,,,,,
BigQuery Engineer,Platform & Infrastructure,120000,290000,,,,,,,
Cloud Engineer,Platform & Infrastructure,95000,270000,95000,270000,130000,210000,2120,,
Disaster Recovery Engineer,Platform & Infrastructure,110000,270000,,,,,,,
Identity Engineer (Corp IT — Okta/Azure AD),Platform & Infrastructure,110000,280000,,,,,,,
Monitoring Engineer (Prometheus/Grafana),Platform & Infrastructure,110000,280000,,,,,,,
Redis Engineer,Platform & Infrastructure,110000,280000,,,,,,,
UX Designer / Researcher,Product & Design,85000,220000,85000,220000,120000,180000,1320,,
Senior SDET,Quality & Testing,130000,280000,,,,,,,
Endpoint Security Engineer,Security,100000,260000,,,,,,,
SOC Analyst (Tier 3),Security,100000,230000,,,,,,,
Security Operations Engineer,Security,110000,270000,,,,,,,
Threat Intelligence Analyst,Security,90000,220000,,,,,,,
Post-sales / Customer Engineer,Specialized & Emerging,110000,280000,,,,,,,
Senior Salesforce Developer,Specialized & Emerging,130000,280000,,,,,,,
AdTech ML Engineer,Data & AI,130000,320000,,,,,,,
CDC (Change Data Capture) Engineer,Data & AI,130000,310000,,,,,,,
Experimentation Scientist (A/B testing),Data & AI,130000,310000,,,,,,,
Staff Data Scientist,Data & AI,180000,420000,,,,,,,
Airline Software Engineer,Engineering,100000,260000,,,,,,,
Apple Vision Pro Application Engineer,Engineering,130000,340000,,,,,,,
CAD Software Engineer,Engineering,110000,280000,,,,,,,
Color Science Engineer,Engineering,110000,270000,,,,,,,
Console Game Engineer,Engineering,110000,280000,,,,,,,
Cosmos SDK Engineer,Engineering,120000,310000,,,,,,,
Decentralized Identity Engineer,Engineering,120000,310000,,,,,,,
Elixir / Phoenix Engineer,Engineering,110000,280000,,,,,,,
Eye Tracking Engineer,Engineering,130000,320000,,,,,,,
Frontend Architect,Engineering,150000,360000,,,,,,,
Frontend Performance Engineer,Engineering,130000,320000,,,,,,,
Game Network Programmer,Engineering,110000,280000,,,,,,,
Hand Tracking / Gesture Recognition Engineer,Engineering,130000,330000,,,,,,,
Hardware Wallet Firmware Engineer,Engineering,120000,310000,,,,,,,
IoT Software Engineer,Engineering,100000,260000,,,,,,,
Logistics Software Engineer,Engineering,110000,290000,,,,,,,
Mainframe Modernization Engineer,Engineering,130000,290000,,,,,,,
Mobile Architect,Engineering,150000,360000,,,,,,,
OpenGL Engineer,Engineering,110000,290000,,,,,,,
Pharma Software Engineer,Engineering,110000,290000,,,,,,,
Smart Contract Engineer,Engineering,100000,320000,,,,,,,
Spatial Computing Engineer,Engineering,120000,320000,,,,,,,
Supply Chain Software Engineer,Engineering,110000,290000,,,,,,,
VR Game Engineer,Engineering,110000,280000,,,,,,,
WebGL / WebGPU Engineer,Engineering,110000,280000,,,,,,,
Zig Engineer,Engineering,120000,280000,,,,,,,
visionOS / Apple Vision Pro Engineer,Engineering,130000,340000,,,,,,,
Capacity Planning Engineer,Platform & Infrastructure,120000,290000,,,,,,,
Elasticsearch DBA / Engineer,Platform & Infrastructure,120000,290000,,,,,,,
File System Engineer,Platform & Infrastructure,130000,320000,,,,,,,
FinOps Practitioner,Platform & Infrastructure,110000,280000,,,,,,,
Senior Network Engineer,Platform & Infrastructure,120000,280000,,,,,,,
Implementation Engineer,Specialized & Emerging,100000,240000,,,,,,,
NLP Engineer,Data & AI,120000,320000,,,,,,,
Haskell Engineer,Engineering,120000,300000,,,,,,,
OCaml Engineer,Engineering,120000,300000,,,,,,,
Sustainability Tech Engineer,Engineering,100000,250000,,,,,,,
Quality Engineering Director,Quality & Testing,140000,300000,,,,,,,
Field Engineer,Specialized & Emerging,110000,260000,,,,,,,
Open Source Program Manager (OSPO),Specialized & Emerging,130000,320000,,,,,,,
Active Learning Engineer,Data & AI,120000,300000,,,,,,,
Azure ML Engineer,Data & AI,120000,290000,,,,,,,
Beam / Dataflow Engineer,Data & AI,120000,290000,,,,,,,
BigQuery Data Engineer,Data & AI,110000,280000,,,,,,,
Data Lake Engineer,Data & AI,110000,270000,,,,,,,
Flink Engineer,Data & AI,130000,320000,,,,,,,
Llama Fine-tuning Engineer,Data & AI,130000,330000,,,,,,,
Vertex AI Engineer,Data & AI,130000,310000,,,,,,,
Android Auto / CarPlay Engineer,Engineering,120000,300000,,,,,,,
Audio Plugin Developer (VST),Engineering,100000,270000,,,,,,,
Banking Software Engineer,Engineering,110000,280000,,,,,,,
C# / .NET Backend Engineer,Engineering,95000,250000,,,,,,,
Crypto Exchange Engineer,Engineering,110000,290000,,,,,,,
Crypto Wallet Engineer,Engineering,110000,290000,,,,,,,
E-commerce Backend Engineer,Engineering,100000,270000,,,,,,,
EHR Integration Engineer,Engineering,100000,250000,,,,,,,
Frontend Build / Tooling Engineer,Engineering,130000,320000,,,,,,,
GIS Developer,Engineering,90000,230000,,,,,,,
Game Server Engineer,Engineering,110000,280000,,,,,,,
Geospatial Software Engineer,Engineering,100000,250000,,,,,,,
Government / GovTech Engineer,Engineering,95000,240000,,,,,,,
GraphQL Engineer,Engineering,110000,290000,,,,,,,
Haptics Engineer,Engineering,110000,280000,,,,,,,
Hardware Test Engineer,Engineering,100000,250000,,,,,,,
Mapping Software Engineer (Mapbox/OSM),Engineering,110000,270000,,,,,,,
Marketplace Engineer,Engineering,110000,280000,,,,,,,
PCB Design Engineer,Engineering,90000,230000,,,,,,,
Streaming Protocol Engineer (HLS/DASH),Engineering,120000,300000,,,,,,,
Telemedicine Software Engineer,Engineering,100000,260000,,,,,,,
Unreal Engine Engineer,Engineering,100000,260000,,,,,,,
Head of Frontend,Engineering Leadership,170000,380000,,,,,,,
5G Software Engineer,Platform & Infrastructure,110000,290000,,,,,,,
Azure Engineer,Platform & Infrastructure,100000,260000,,,,,,,
Build Engineer (Bazel/Buck),Platform & Infrastructure,130000,320000,,,,,,,
GCP Engineer,Platform & Infrastructure,100000,270000,,,,,,,
Neo4j / Graph Database Engineer,Platform & Infrastructure,110000,280000,,,,,,,
Network Automation Engineer,Platform & Infrastructure,110000,270000,,,,,,,
Network Engineer,Platform & Infrastructure,90000,220000,,,,,,,
SDN Engineer,Platform & Infrastructure,110000,270000,,,,,,,
Storage Architect,Platform & Infrastructure,130000,300000,,,,,,,
Storage Engineer,Platform & Infrastructure,110000,270000,,,,,,,
Wireless Software Engineer,Platform & Infrastructure,100000,260000,,,,,,,
Product Designer,Product & Design,95000,250000,95000,250000,135000,200000,1820,,
Quantitative UX Researcher,Product & Design,110000,260000,,,,,,,
SDET / Test Infrastructure,Quality & Testing,100000,230000,100000,230000,130000,190000,720,,
Stress Test Engineer,Quality & Testing,100000,240000,,,,,,,
Active Directory Security Engineer,Security,110000,270000,,,,,,,
PKI Engineer,Security,110000,280000,,,,,,,
macOS Security Engineer,Security,110000,280000,,,,,,,
Developer Advocate / DevRel,Specialized & Emerging,110000,260000,,,,,,,
Clojure Engineer,Engineering,110000,280000,,,,,,,
DeFi Protocol Engineer,Engineering,130000,380000,,,,,,,
Game Producer / Tech Producer,Engineering,90000,220000,,,,,,,
Principal Frontend Engineer,Engineering,200000,480000,,,,,,,
Web Accessibility (a11y) Engineer,Engineering,100000,260000,,,,,,,
Engineering Operations Manager,Engineering Leadership,140000,320000,,,,,,,
Cloud Cost Optimization Engineer,Platform & Infrastructure,110000,270000,,,,,,,
Consumer Product Manager,Product & Design,120000,290000,,,,,,,
Mobile Product Manager,Product & Design,120000,290000,,,,,,,
HIPAA Compliance Engineer,Security,100000,240000,,,,,,,
ISO 27001 Auditor,Security,100000,230000,,,,,,,
PCI-DSS Compliance Engineer,Security,100000,240000,,,,,,,
SOC 2 Compliance Engineer,Security,100000,240000,,,,,,,
Program Manager (Software),Specialized & Emerging,110000,260000,,,,,,,
Anthropic Claude API Engineer,Data & AI,120000,320000,,,,,,,
AutoGen / Multi-agent Engineer,Data & AI,120000,300000,,,,,,,
DBT Engineer,Data & AI,100000,250000,,,,,,,
OpenAI GPT API Engineer,Data & AI,120000,320000,,,,,,,
Android Engineer,Engineering,90000,250000,90000,250000,135000,205000,940,,
Full-Stack Engineer,Engineering,90000,260000,90000,260000,130000,210000,3650,,
Full-Stack TypeScript Engineer,Engineering,100000,280000,,,,,,,
Mobile Build / CI Engineer,Engineering,110000,270000,,,,,,,
Mobile DevOps / Release Engineer,Engineering,110000,270000,,,,,,,
Node.js Backend Engineer,Engineering,90000,260000,,,,,,,
REST API Engineer,Engineering,90000,240000,,,,,,,
TypeScript Specialist,Engineering,110000,280000,,,,,,,
iOS Engineer,Engineering,95000,260000,95000,260000,140000,210000,1080,,
Cloudflare Engineer,Platform & Infrastructure,110000,280000,,,,,,,
Data Modeler,Platform & Infrastructure,100000,240000,,,,,,,
Helm / Argo Engineer,Platform & Infrastructure,120000,290000,,,,,,,
Logging Engineer (ELK/Loki/Splunk),Platform & Infrastructure,100000,260000,,,,,,,
MySQL / MariaDB DBA,Platform & Infrastructure,95000,240000,,,,,,,
Release Engineer,Platform & Infrastructure,100000,240000,,,,,,,
UX Researcher,Product & Design,90000,220000,,,,,,,
SAST Engineer,Security,100000,240000,,,,,,,
SIEM Engineer,Security,100000,250000,,,,,,,
Salesforce Developer,Specialized & Emerging,100000,240000,,,,,,,
AR Engineer,Engineering,100000,270000,,,,,,,
Ada Engineer (Defense),Engineering,110000,260000,,,,,,,
CAM Software Engineer,Engineering,110000,270000,,,,,,,
Cairo Developer (StarkNet),Engineering,110000,320000,,,,,,,
Cardano Plutus Developer,Engineering,110000,280000,,,,,,,
DAW Software Engineer,Engineering,110000,280000,,,,,,,
Fortran Engineer (Scientific),Engineering,100000,240000,,,,,,,
Linter / Formatter Maintainer,Engineering,110000,290000,,,,,,,
Live Video / Broadcast Engineer,Engineering,110000,270000,,,,,,,
Micro-frontends Architect,Engineering,130000,320000,,,,,,,
Mixed Reality Engineer,Engineering,100000,270000,,,,,,,
Move Developer (Sui/Aptos),Engineering,110000,320000,,,,,,,
Search Backend Engineer (Solr),Engineering,110000,280000,,,,,,,
Solidity Developer,Engineering,100000,300000,,,,,,,
Staff Frontend Engineer,Engineering,170000,400000,,,,,,,
Substrate Engineer (Polkadot),Engineering,110000,290000,,,,,,,
VR Engineer,Engineering,100000,270000,,,,,,,
Wearable Tech Engineer,Engineering,100000,250000,,,,,,,
XR Engineer,Engineering,100000,270000,,,,,,,
Cassandra Engineer,Platform & Infrastructure,110000,280000,,,,,,,
CockroachDB / TiDB Engineer,Platform & Infrastructure,120000,290000,,,,,,,
ScyllaDB Engineer,Platform & Infrastructure,120000,290000,,,,,,,
Social Engineering Specialist,Security,90000,230000,,,,,,,
API / Integration Engineer,Engineering,90000,240000,,,,,,,
AgTech Software Engineer,Engineering,95000,230000,,,,,,,
Django Engineer,Engineering,90000,230000,,,,,,,
Game Engineer,Engineering,80000,220000,,,,,,,
Gameplay Programmer,Engineering,80000,200000,,,,,,,
Next.js / SSR Engineer,Engineering,100000,260000,,,,,,,
Backup / Recovery Engineer,Platform & Infrastructure,95000,230000,,,,,,,
DNS Engineer,Platform & Infrastructure,100000,240000,,,,,,,
Data Center Engineer,Platform & Infrastructure,100000,240000,,,,,,,
IT Director,Platform & Infrastructure,130000,280000,,,,,,,
Oracle DBA,Platform & Infrastructure,110000,280000,,,,,,,
Inclusive Design Specialist,Product & Design,95000,220000,,,,,,,
Accessibility QA Engineer,Quality & Testing,90000,220000,,,,,,,
Compliance Test Engineer,Quality & Testing,95000,230000,,,,,,,
QA Manager,Quality & Testing,110000,250000,,,,,,,
Intelligent Automation Engineer,Specialized & Emerging,100000,250000,,,,,,,
AutoML Engineer,Data & AI,110000,280000,,,,,,,
Data Augmentation Engineer,Data & AI,110000,280000,,,,,,,
Data Warehouse Engineer,Data & AI,100000,250000,,,,,,,
Database Administrator,Data & AI,90000,200000,,,,,,,
Prefect / Dagster Engineer,Data & AI,110000,270000,,,,,,,
Senior Analytics Engineer,Data & AI,110000,260000,,,,,,,
Senior Data Scientist,Data & AI,140000,320000,,,,,,,
TensorFlow Specialist,Data & AI,110000,280000,,,,,,,
XGBoost / Gradient Boosting Specialist,Data & AI,110000,270000,,,,,,,
BIM Software Engineer,Engineering,100000,250000,,,,,,,
Code Quality Engineer,Engineering,110000,270000,,,,,,,
Full-Stack Python Engineer,Engineering,95000,260000,,,,,,,
Game Audio Programmer,Engineering,90000,230000,,,,,,,
Game Live Ops Engineer,Engineering,100000,240000,,,,,,,
Game Tools Programmer,Engineering,90000,230000,,,,,,,
Hyperledger Fabric Engineer,Engineering,110000,280000,,,,,,,
Insurance Tech Engineer (Insurtech),Engineering,100000,250000,,,,,,,
Java EE / Jakarta EE Engineer,Engineering,90000,220000,,,,,,,
Kotlin Multiplatform Engineer,Engineering,110000,270000,,,,,,,
Legal Tech Engineer,Engineering,100000,250000,,,,,,,
Mainframe Engineer,Engineering,100000,230000,,,,,,,
Meta Quest Developer,Engineering,100000,260000,,,,,,,
Photography Software Engineer,Engineering,100000,250000,,,,,,,
Quarkus Engineer,Engineering,100000,240000,,,,,,,
Ruby on Rails Engineer,Engineering,100000,260000,,,,,,,
T3 / tRPC Stack Engineer,Engineering,110000,270000,,,,,,,
Unity XR Developer,Engineering,100000,250000,,,,,,,
Alibaba Cloud Engineer,Platform & Infrastructure,100000,240000,,,,,,,
Block Storage Engineer,Platform & Infrastructure,110000,270000,,,,,,,
CDN Engineer,Platform & Infrastructure,110000,270000,,,,,,,
DuckDB Engineer,Platform & Infrastructure,110000,270000,,,,,,,
DynamoDB Specialist,Platform & Infrastructure,110000,270000,,,,,,,
MongoDB Engineer,Platform & Infrastructure,100000,260000,,,,,,,
Monorepo Engineer (Nx/Turborepo),Platform & Infrastructure,120000,290000,,,,,,,
Object Storage Engineer (S3/MinIO),Platform & Infrastructure,110000,270000,,,,,,,
SQL Server DBA,Platform & Infrastructure,100000,250000,,,,,,,
Service Catalog Engineer,Platform & Infrastructure,110000,280000,,,,,,,
Industrial Designer (hardware-software products),Product & Design,95000,230000,,,,,,,
Service Designer,Product & Design,100000,240000,,,,,,,
Hardware QA Engineer,Quality & Testing,90000,220000,,,,,,,
DAST Engineer,Security,100000,240000,,,,,,,
Windows Security Engineer,Security,100000,250000,,,,,,,
Wireless Pentester,Security,95000,240000,,,,,,,
A/B Testing Engineer,Specialized & Emerging,110000,270000,,,,,,,
SAP HANA Developer,Specialized & Emerging,110000,260000,,,,,,,
AI Trainer / RLHF Annotator,Data & AI,50000,150000,,,,,,,
Active Learning / Labeling Operations Lead,Data & AI,110000,270000,,,,,,,
Head of QA,Engineering Leadership,150000,320000,,,,,,,
Conversational Designer,Product & Design,100000,240000,,,,,,,
Product Operations Manager,Product & Design,110000,250000,,,,,,,
Developer Educator,Specialized & Emerging,95000,230000,,,,,,,
Developer Marketing Engineer,Specialized & Emerging,110000,260000,,,,,,,
Airflow Engineer,Data & AI,100000,250000,,,,,,,
Analytics Engineer,Data & AI,90000,220000,90000,220000,120000,180000,720,,
LangChain / LlamaIndex Engineer,Data & AI,110000,280000,,,,,,,
ASP.NET Engineer,Engineering,90000,220000,,,,,,,
Flutter Engineer,Engineering,90000,240000,,,,,,,
Game Build / Pipeline Engineer,Engineering,90000,230000,,,,,,,
Game Telemetry Engineer,Engineering,90000,220000,,,,,,,
HarmonyOS Engineer,Engineering,100000,250000,,,,,,,
IDE Plugin Developer,Engineering,100000,250000,,,,,,,
Junior Backend Engineer,Engineering,70000,130000,,,,,,,
MERN Stack Engineer,Engineering,90000,240000,,,,,,,
Mobile Game Engineer,Engineering,85000,210000,,,,,,,
NestJS Engineer,Engineering,90000,230000,,,,,,,
React Native Engineer,Engineering,90000,240000,,,,,,,
Senior Frontend Engineer,Engineering,120000,280000,,,,,,,
Unity Engineer,Engineering,80000,200000,,,,,,,
Deployment Engineer,Platform & Infrastructure,95000,240000,,,,,,,
Endpoint Management Engineer (Intune/Jamf),Platform & Infrastructure,95000,230000,,,,,,,
Telecom Software Engineer,Platform & Infrastructure,95000,230000,,,,,,,
CDP / Customer Data Platform Engineer,Specialized & Emerging,110000,270000,,,,,,,
Customer Success Engineer,Specialized & Emerging,95000,240000,,,,,,,
Stripe Integration Engineer,Specialized & Emerging,100000,250000,,,,,,,
Workflow Automation Engineer,Specialized & Emerging,95000,240000,,,,,,,
Decision Scientist,Data & AI,110000,250000,,,,,,,
3D Printing Software Engineer,Engineering,95000,230000,,,,,,,
Bun.sh Engineer,Engineering,100000,250000,,,,,,,
COBOL Developer,Engineering,90000,220000,,,,,,,
IPFS / Filecoin Engineer,Engineering,110000,280000,,,,,,,
Micronaut Engineer,Engineering,100000,230000,,,,,,,
Oracle (Chainlink) Engineer,Engineering,110000,280000,,,,,,,
Unreal XR Developer,Engineering,100000,260000,,,,,,,
Vyper Developer,Engineering,100000,280000,,,,,,,
z/OS Engineer,Engineering,100000,230000,,,,,,,
Onboarding Engineer,Specialized & Emerging,90000,220000,,,,,,,
Project Manager (Software),Specialized & Emerging,95000,230000,,,,,,,
Chatbot Engineer,Data & AI,95000,240000,,,,,,,
Product Data Scientist,Data & AI,110000,260000,,,,,,,
Cruise / Maritime Software Engineer,Engineering,95000,230000,,,,,,,
Express.js Engineer,Engineering,85000,220000,,,,,,,
Internal Tools Engineer,Engineering,90000,230000,,,,,,,
React Engineer,Engineering,90000,250000,,,,,,,
SOC Analyst (Tier 2),Security,80000,180000,,,,,,,
Curriculum Designer (Technical),Specialized & Emerging,90000,210000,,,,,,,
AdTech Engineer,Engineering,110000,280000,,,,,,,
Algorand Developer,Engineering,100000,250000,,,,,,,
Angular Engineer,Engineering,90000,230000,,,,,,,
Cartography Engineer,Engineering,90000,220000,,,,,,,
Construction Tech Engineer,Engineering,95000,240000,,,,,,,
Corda / R3 Engineer,Engineering,100000,260000,,,,,,,
E-discovery Engineer,Engineering,100000,240000,,,,,,,
EdTech Engineer,Engineering,90000,230000,,,,,,,
Flask Engineer,Engineering,85000,220000,,,,,,,
HR Tech Engineer,Engineering,95000,230000,,,,,,,
Internationalization (i18n) Engineer,Engineering,95000,240000,,,,,,,
JetBrains Plugin Developer,Engineering,100000,240000,,,,,,,
Laravel Engineer,Engineering,80000,210000,,,,,,,
MarTech Engineer,Engineering,100000,250000,,,,,,,
Mental Health Tech Engineer,Engineering,90000,220000,,,,,,,
Middleware Engineer,Engineering,100000,240000,,,,,,,
Music Tech Engineer,Engineering,100000,250000,,,,,,,
PHP Backend Engineer,Engineering,75000,200000,,,,,,,
Real Estate Tech Engineer (Proptech),Engineering,95000,240000,,,,,,,
Tezos Developer,Engineering,100000,250000,,,,,,,
Travel Tech Engineer,Engineering,90000,230000,,,,,,,
Webpack / Vite Specialist,Engineering,110000,270000,,,,,,,
Hetzner / Bare Metal Specialist,Platform & Infrastructure,95000,230000,,,,,,,
InfluxDB Engineer,Platform & Infrastructure,100000,240000,,,,,,,
Linux Sysadmin,Platform & Infrastructure,85000,200000,,,,,,,
Load Balancer Engineer,Platform & Infrastructure,95000,230000,,,,,,,
Oracle Cloud Engineer,Platform & Infrastructure,100000,240000,,,,,,,
TimescaleDB Engineer,Platform & Infrastructure,100000,250000,,,,,,,
VoIP / SIP Engineer,Platform & Infrastructure,90000,220000,,,,,,,
Associate Product Manager,Product & Design,90000,180000,,,,,,,
Information Architect,Product & Design,95000,230000,,,,,,,
Interaction Designer,Product & Design,90000,220000,,,,,,,
Marketing Product Manager,Product & Design,110000,250000,,,,,,,
Senior Content Designer,Product & Design,100000,230000,,,,,,,
Voice Interface Designer,Product & Design,95000,220000,,,,,,,
API Test Engineer,Quality & Testing,90000,220000,,,,,,,
Playwright Engineer,Quality & Testing,95000,230000,,,,,,,
QA Lead,Quality & Testing,100000,230000,,,,,,,
Test Data Engineer,Quality & Testing,95000,220000,,,,,,,
Documentation Engineer,Specialized & Emerging,90000,220000,,,,,,,
Feature Flag Engineer (LaunchDarkly/Split),Specialized & Emerging,110000,270000,,,,,,,
SAP ABAP Developer,Specialized & Emerging,100000,240000,,,,,,,
SAP Basis Administrator,Specialized & Emerging,100000,240000,,,,,,,
Senior Technical Writer,Specialized & Emerging,100000,230000,,,,,,,
ServiceNow Developer,Specialized & Emerging,100000,230000,,,,,,,
IT Manager,Platform & Infrastructure,100000,230000,,,,,,,
Data Scientist,Data & AI,100000,250000,100000,250000,130000,210000,1620,,
ELT Engineer,Data & AI,90000,220000,,,,,,,
Frontend Engineer,Engineering,80000,230000,80000,230000,120000,190000,3240,,
Godot Engineer,Engineering,70000,180000,,,,,,,
VSCode Extension Developer,Engineering,100000,250000,,,,,,,
Vercel / Netlify Specialist,Platform & Infrastructure,95000,240000,,,,,,,
3D Designer,Product & Design,80000,200000,,,,,,,
Test Environment Engineer,Quality & Testing,95000,220000,,,,,,,
MuleSoft Engineer,Specialized & Emerging,110000,260000,,,,,,,
Power Platform Developer,Specialized & Emerging,95000,230000,,,,,,,
Salesforce CPQ Developer,Specialized & Emerging,100000,230000,,,,,,,
Workday Developer,Specialized & Emerging,100000,230000,,,,,,,
AS/400 / RPG Developer,Engineering,85000,200000,,,,,,,
Android TV Engineer,Engineering,95000,230000,,,,,,,
Crystal Engineer,Engineering,80000,180000,,,,,,,
D Lang Engineer,Engineering,80000,180000,,,,,,,
Deno Engineer,Engineering,95000,230000,,,,,,,
HTMX Engineer,Engineering,85000,210000,,,,,,,
Nim Engineer,Engineering,80000,180000,,,,,,,
Wear OS Engineer,Engineering,95000,230000,,,,,,,
Web Components / Lit Engineer,Engineering,95000,230000,,,,,,,
Xamarin / .NET MAUI Engineer,Engineering,95000,230000,,,,,,,
iPadOS Engineer,Engineering,100000,240000,,,,,,,
watchOS Engineer,Engineering,100000,240000,,,,,,,
IBM Cloud Engineer,Platform & Infrastructure,95000,230000,,,,,,,
Community Manager (Technical),Specialized & Emerging,80000,200000,,,,,,,
Twilio Engineer,Specialized & Emerging,100000,240000,,,,,,,
Customer Support Engineer,Specialized & Emerging,70000,170000,,,,,,,
Data Annotation Engineer,Data & AI,70000,180000,,,,,,,
Scikit-learn Specialist,Data & AI,95000,230000,,,,,,,
Browser Extension Engineer,Engineering,90000,230000,,,,,,,
CSS Architect (Sass/Tailwind),Engineering,90000,220000,,,,,,,
Esports Platform Engineer,Engineering,90000,220000,,,,,,,
Food Tech Engineer,Engineering,90000,220000,,,,,,,
Full-Stack Ruby Engineer,Engineering,90000,230000,,,,,,,
JAMstack Engineer,Engineering,90000,220000,,,,,,,
JCL Developer,Engineering,85000,200000,,,,,,,
Junior Android Engineer,Engineering,65000,125000,,,,,,,
Junior iOS Engineer,Engineering,70000,130000,,,,,,,
MEAN Stack Engineer,Engineering,85000,220000,,,,,,,
Remix Engineer,Engineering,90000,230000,,,,,,,
Sinatra / Hanami Engineer,Engineering,90000,200000,,,,,,,
Sports Tech Engineer,Engineering,95000,230000,,,,,,,
Svelte Engineer,Engineering,90000,220000,,,,,,,
Symfony Engineer,Engineering,80000,200000,,,,,,,
Tornado Backend Engineer,Engineering,80000,200000,,,,,,,
Couchbase Engineer,Platform & Infrastructure,100000,230000,,,,,,,
Fly.io / Render Specialist,Platform & Infrastructure,95000,230000,,,,,,,
Sysadmin / System Administrator,Platform & Infrastructure,75000,180000,,,,,,,
Vertica / Teradata Engineer,Platform & Infrastructure,100000,240000,,,,,,,
Windows Sysadmin,Platform & Infrastructure,80000,190000,,,,,,,
Apex Developer,Specialized & Emerging,90000,220000,,,,,,,
Atlassian Developer (Jira/Confluence),Specialized & Emerging,95000,220000,,,,,,,
Microsoft Dynamics Developer,Specialized & Emerging,95000,220000,,,,,,,
NetSuite Developer,Specialized & Emerging,95000,220000,,,,,,,
Release Train Engineer (SAFe),Specialized & Emerging,100000,230000,,,,,,,
SEO Engineer (Technical),Specialized & Emerging,90000,230000,,,,,,,
BI Developer,Data & AI,80000,180000,,,,,,,
Cohere / Mistral API Engineer,Data & AI,100000,250000,,,,,,,
Statistical Programmer (SAS/R),Data & AI,85000,210000,,,,,,,
Astro Engineer,Engineering,85000,210000,,,,,,,
Game UI Programmer,Engineering,80000,200000,,,,,,,
Junior Full-Stack Engineer,Engineering,65000,120000,,,,,,,
Localization (l10n) Engineer,Engineering,85000,210000,,,,,,,
Vue Engineer,Engineering,85000,220000,,,,,,,
IT Operations Engineer,Platform & Infrastructure,80000,200000,,,,,,,
M365 / Google Workspace Admin,Platform & Infrastructure,80000,200000,,,,,,,
Content Designer / UX Writer,Product & Design,75000,180000,,,,,,,
Motion Designer,Product & Design,85000,200000,,,,,,,
API Documentation Specialist,Specialized & Emerging,80000,200000,,,,,,,
Marketing Automation Engineer,Specialized & Emerging,90000,220000,,,,,,,
Mixpanel / Amplitude / Heap Engineer,Specialized & Emerging,95000,230000,,,,,,,
